FILE,FUNCTION,LINE,LINES,COMPLEXITY
service_install.py,_detect_uvx_from_process_tree,131,65,9
mail.py,__post_init__,88,44,9
service_install.py,install_service,401,103,8
alert_state.py,load_state,259,66,8
behaviors.py,_build_monitor_config,354,59,8
formatters.py,_format_last_scrub,225,52,8
alerting.py,_format_notes_section,628,43,8
cli.py,cli_send_email,661,103,7
monitor.py,_check_errors,327,64,7
daemon.py,_detect_recoveries,556,52,7
zfs_parser.py,_extract_error_counts,433,49,7
config_show.py,_display_value_with_source,91,48,7
service_install.py,uninstall_service,506,76,6
cli.py,cli_send_notification,784,72,6
daemon.py,start,102,58,6
cli.py,cli_config_deploy,527,50,6
cli.py,cli_check,1024,38,6
behaviors.py,run_daemon,244,108,5
zfs_parser.py,merge_pool_data,191,63,5
cli.py,cli_install_service,877,58,5
monitor.py,_check_scrub,392,56,5
daemon.py,_handle_check_result,353,55,5
zfs_parser.py,parse_pool_list,86,55,5
alerting.py,_format_recommended_actions_section,384,51,5
zfs_parser.py,parse_pool_status,142,48,5
service_install.py,_find_executable,198,47,5
daemon.py,_format_uptime,472,27,5
zfs_parser.py,_try_parse_datetime_string,510,27,5
behaviors.py,check_pools_once,163,79,4
zfs_parser.py,_parse_size_to_bytes,361,71,4
alert_state.py,should_alert,105,68,4
alerting.py,send_recovery,156,65,4
monitor.py,check_pool,127,60,4
alert_state.py,save_state,326,47,4
cli.py,cli_uninstall_service,950,42,4
zfs_parser.py,_parse_scrub_time,555,37,4
daemon.py,_should_send_alert,409,35,4
behaviors.py,_get_state_file_path,415,28,4
config_show.py,_display_human_section,189,27,4
cli.py,cli_daemon,1071,26,4
zfs_parser.py,_try_parse_unix_timestamp,483,26,4
service_install.py,_extract_version_from_cmdline,107,22,4
service_install.py,_check_root_privileges,47,20,4
service_install.py,_is_uvx_process,69,16,4
monitor.py,__post_init__,79,7,4
zfs_client.py,_execute_command,302,76,3
alerting.py,send_alert,95,60,3
monitor.py,check_all_pools,188,60,3
zfs_client.py,get_pool_list,157,52,3
alerting.py,_append_zpool_status,689,44,3
monitor.py,_check_capacity,282,44,3
alerting.py,_format_scrub_status_section,558,43,3
formatters.py,format_check_result_text,65,42,3
alerting.py,_format_alert_header,303,41,3
daemon.py,_run_check_cycle,311,41,3
cli.py,cli,393,40,3
alerting.py,_format_pool_details_section,345,38,3
formatters.py,display_check_result_text,188,35,3
daemon.py,_fetch_and_parse_pools,232,32,3
daemon.py,_log_pool_details,523,32,3
monitor.py,_check_health,249,32,3
config_show.py,_collect_dotted_keys,30,30,3
zfs_client.py,__init__,109,28,3
config_show.py,_format_source_info,62,27,3
alerting.py,_format_health_assessment_section,602,25,3
daemon.py,_run_monitoring_loop,206,25,3
config_show.py,_display_json_section,141,24,3
daemon.py,_format_bytes,500,22,3
config_show.py,_display_human_section_data,167,20,3
formatters.py,_get_severity_color,279,19,3
formatters.py,get_exit_code_for_severity,300,19,3
formatters.py,_display_issues,169,17,3
service_install.py,_create_service_directories,247,17,3
mail.py,_resolve_credentials,162,5,3
mail.py,send_email,169,119,2
service_install.py,_generate_service_file_content,266,82,2
config_show.py,display_config,218,56,2
alerting.py,_format_recovery_body,735,53,2
logging_setup.py,init_logging,75,50,2
alert_state.py,record_alert,174,49,2
alerting.py,_format_complete_pool_status,456,46,2
zfs_client.py,get_pool_status,210,46,2
zfs_client.py,_execute_json_command,379,46,2
zfs_client.py,get_pool_status_text,257,44,2
service_install.py,get_service_status,584,43,2
cli.py,_run_cli_via_exit_tools,334,40,2
formatters.py,_format_pool_row,127,40,2
zfs_parser.py,_extract_capacity_metrics,614,40,2
alert_state.py,clear_issue,224,34,2
cli.py,_load_and_validate_email_config,1099,34,2
zfs_parser.py,_extract_scrub_info,655,34,2
daemon.py,_send_alert_for_issue,445,26,2
service_install.py,show_service_status,629,25,2
zfs_parser.py,_get_property_value,336,23,2
cli.py,_restore_when_requested,1135,22,2
cli.py,cli_service_status,995,20,2
daemon.py,stop,161,20,2
zfs_parser.py,_parse_health_state,593,20,2
daemon.py,_filter_monitored_pools,265,19,2
models.py,has_errors,303,18,2
service_install.py,_find_uvx_executable,87,18,2
zfs_client.py,check_zpool_available,138,18,2
alerting.py,_calculate_scrub_age_days,672,16,2
cli.py,cli_config,494,16,2
models.py,__lt__,168,16,2
zfs_parser.py,_normalize_timezone,538,16,2
alert_state.py,_ensure_state_dir,93,7,2
