PROFILING REPORT - SORTED BY CUMULATIVE
================================================================================

         6381143 function calls (6254737 primitive calls) in 7.742 seconds

   Ordered by: cumulative time
   List reduced from 7095 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  460/459    0.001    0.000    9.644    0.021 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:115(pytest_runtest_protocol)
1518/1516    0.003    0.000    9.639    0.006 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:332(from_call)
1378/1377    0.005    0.000    9.579    0.007 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:231(call_and_report)
  460/459    0.002    0.000    9.521    0.021 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:123(runtestprotocol)
     1377    0.002    0.000    9.395    0.007 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:245(<lambda>)
      2/1    0.000    0.000    6.768    6.768 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/config/__init__.py:168(main)
      459    0.001    0.000    6.764    0.015 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:168(pytest_runtest_call)
      451    0.001    0.000    6.755    0.015 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/python.py:1718(runtest)
 11179/70    0.005    0.000    6.679    0.095 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pluggy/_manager.py:111(_hookexec)
 11179/70    0.038    0.000    6.679    0.095 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pluggy/_callers.py:76(_multicall)
  10596/2    0.012    0.000    6.676    3.338 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pluggy/_hooks.py:497(__call__)
      2/1    0.000    0.000    6.560    6.560 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:364(pytest_cmdline_main)
      2/1    0.000    0.000    6.560    6.560 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:305(wrap_session)
      2/1    0.000    0.000    6.368    6.368 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:368(_main)
      451    0.002    0.000    5.731    0.013 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/python.py:159(pytest_pyfunc_call)
    28/14    0.002    0.000    3.000    0.214 /opt/Python-3.14.0/lib/python3.14/threading.py:651(wait)
      2/1    0.000    0.000    2.859    2.859 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:385(pytest_runtestloop)
14164/6193    0.004    0.000    1.092    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.990    0.099 /opt/Python-3.14.0/lib/python3.14/threading.py:1096(join)
       10    0.990    0.099    0.990    0.099 {method 'join' of '_thread._ThreadHandle' objects}
  149/145    0.001    0.000    0.877    0.006 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/console.py:1648(print)
16569/4072    0.005    0.000    0.853    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/console.py:1300(render)
2735/1719    0.004    0.000    0.803    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/segment.py:278(split_and_crop_lines)
        8    0.000    0.000    0.799    0.100 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_log_rich/runtime/_api.py:331(shutdown)
  628/232    0.001    0.000    0.798    0.003 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/console.py:1351(render_lines)
        8    0.000    0.000    0.797    0.100 /opt/Python-3.14.0/lib/python3.14/asyncio/runners.py:169(run)
        8    0.000    0.000    0.795    0.099 /opt/Python-3.14.0/lib/python3.14/asyncio/runners.py:87(run)
       24    0.000    0.000    0.794    0.033 /opt/Python-3.14.0/lib/python3.14/asyncio/base_events.py:683(run_until_complete)
       24    0.000    0.000    0.793    0.033 /opt/Python-3.14.0/lib/python3.14/asyncio/base_events.py:672(run_forever)
       48    0.000    0.000    0.793    0.017 /opt/Python-3.14.0/lib/python3.14/asyncio/base_events.py:1966(_run_once)
       48    0.000    0.000    0.793    0.017 /opt/Python-3.14.0/lib/python3.14/asyncio/events.py:92(_run)
3347/2914    0.001    0.000    0.792    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/padding.py:79(__rich_console__)
     2127    0.000    0.000    0.775    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/panel.py:141(__rich_console__)
