PROFILING REPORT - SORTED BY TOTTIME
================================================================================

         6381143 function calls (6254737 primitive calls) in 7.742 seconds

   Ordered by: internal time
   List reduced from 7095 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1596/746    3.998    0.003    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
       10    0.990    0.099    0.990    0.099 {method 'join' of '_thread._ThreadHandle' objects}
        1    0.498    0.498    0.498    0.498 {built-in method time.sleep}
  2237093    0.278    0.000    0.278    0.000 {method 'match' of 're.Pattern' objects}
    68938    0.206    0.000    0.493    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pygments/lexer.py:700(get_tokens_unprocessed)
        5    0.080    0.016    0.080    0.016 {built-in method gc.collect}
       22    0.069    0.003    0.069    0.003 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
 11179/70    0.038    0.000    6.679    0.095 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pluggy/_callers.py:76(_multicall)
        9    0.032    0.004    0.032    0.004 {method 'recv_into' of '_socket.socket' objects}
       93    0.032    0.000    0.032    0.000 {built-in method marshal.load}
       16    0.029    0.002    0.605    0.038 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:1031(append_tokens)
270509/263807    0.026    0.000    0.035    0.000 {built-in method builtins.isinstance}
   499/75    0.023    0.000    0.626    0.008 {built-in method builtins.exec}
    72748    0.022    0.000    0.536    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/syntax.py:505(line_tokenize)
   102844    0.021    0.000    0.021    0.000 {method 'translate' of 'str' objects}
       18    0.021    0.001    0.021    0.001 {method 'read' of '_ssl._SSLSocket' objects}
    72764    0.021    0.000    0.623    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/syntax.py:514(tokens_to_spans)
      645    0.020    0.000    0.030    0.000 {built-in method _io.open}
97456/90575    0.020    0.000    0.745    0.000 {built-in method builtins.next}
   216258    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
    28814    0.018    0.000    0.031    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:144(__init__)
232538/227622    0.018    0.000    0.019    0.000 {built-in method builtins.len}
      280    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
126107/126010    0.016    0.000    0.021    0.000 {built-in method builtins.getattr}
        3    0.015    0.005    0.017    0.006 {built-in method _socket.getaddrinfo}
   102115    0.015    0.000    0.037    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/control.py:181(strip_control_codes)
     3469    0.015    0.000    0.022    0.000 {built-in method posix.stat}
    25796    0.014    0.000    0.041    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:1130(<genexpr>)
 1244/370    0.012    0.000    0.030    0.000 /opt/Python-3.14.0/lib/python3.14/re/_parser.py:512(_parse)
    68934    0.012    0.000    0.505    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pygments/lexer.py:269(streamer)
    76538    0.012    0.000    0.017    0.000 {method 'get' of 'dict' objects}
  10596/2    0.012    0.000    6.676    3.338 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pluggy/_hooks.py:497(__call__)
      446    0.010    0.000    0.017    0.000 /opt/Python-3.14.0/lib/python3.14/unittest/mock.py:2180(_mock_set_magics)
     4721    0.010    0.000    0.021    0.000 /opt/Python-3.14.0/lib/python3.14/pathlib/__init__.py:346(drive)
32233/32095    0.009    0.000    0.010    0.000 {built-in method __new__ of type object at 0x7b3e712be6e0}
     2995    0.009    0.000    0.011    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    75708    0.008    0.000    0.008    0.000 {method 'partition' of 'str' objects}
1024/1017    0.008    0.000    0.050    0.000 {built-in method builtins.__build_class__}
